/vout X,/vout Y
0,0.9997500472754516
0.02,0.9995824512432383
0.04,0.9993070360540284
0.06,0.9988583850272983
0.08,0.9981341662477161
0.1,0.9969764761795821
0.12,0.9951466802466793
0.14,0.9922957328580466
0.16,0.9879364185739107
0.18,0.9814267071808581
0.2,0.9719679062982206
0.22,0.9585962887840693
0.24,0.9401706421981617
0.26,0.9152023739502524
0.28,0.8815459361878978
0.3,0.8358870918715725
0.32,0.7757255475730208
0.34,0.7141170846737485
0.36,0.6656099023376777
0.3800000000000001,0.6257139344921162
0.4000000000000001,0.5900953559295443
0.4200000000000001,0.5567558708709539
0.4400000000000001,0.524855860196756
0.4600000000000001,0.4940279290171278
0.4800000000000001,0.4641299111934161
0.5000000000000001,0.4351336985182717
0.5200000000000001,0.4070762674942751
0.5400000000000001,0.38004125414785
0.5600000000000002,0.3541563746161476
0.5800000000000002,0.3295989852902082
0.6000000000000002,0.306603099496183
0.6200000000000002,0.2854532286039841
0.6400000000000002,0.266430624484867
0.6600000000000003,0.2496908915056721
0.6800000000000003,0.2351686866188888
0.7000000000000003,0.222625711747562
0.7200000000000003,0.2117656775407246
0.7400000000000003,0.2023062110662604
0.7600000000000003,0.1940027701754138
0.7800000000000004,0.1866521830360687
0.8000000000000004,0.1800901177097244
0.8200000000000004,0.1741862936011638
0.8400000000000004,0.1688384701261232
0.8600000000000004,0.1639662761278423
0.8800000000000004,0.159505866491977
0.9000000000000005,0.1554058136211855
0.9200000000000005,0.1516241031847799
0.9400000000000005,0.148125925335974
0.9600000000000005,0.1448820252631312
0.9800000000000005,0.1418674765639797
1,0.1390607820055327
