Q vs Q_B X,Q vs Q_B Y
0.9997448181280252,0
0.9995776405158998,0.02
0.9993022673017503,0.04
0.9988535907147983,0.06
0.9981292433646763,0.08
0.9969712605799891,0.1
0.9951409008672806,0.12
0.9922889279305036,0.14
0.9879277783496032,0.16
0.9814147708585754,0.18
0.971949948216656,0.2
0.9585744367503998,0.22
0.9401163438530182,0.24
0.9150827434847718,0.26
0.8812061386678953,0.28
0.8345424233504559,0.3
0.7686536117668203,0.32
0.6945978412450244,0.34
0.6422433179106792,0.36
0.6028061195230167,0.3800000000000001
0.5688310426859304,0.4000000000000001
0.5374162254311211,0.4200000000000001
0.5074729950726485,0.4400000000000001
0.4785303944163625,0.4600000000000001
0.4504033338342753,0.4800000000000001
0.4230483805479741,0.5000000000000001
0.3965002272017529,0.5200000000000001
0.3708461148009588,0.5400000000000001
0.3462196675418531,0.5600000000000002
0.3228046732656571,0.5800000000000002
0.3008407525517834,0.6000000000000002
0.2806142347706939,0.6200000000000002
0.2623991443062906,0.6400000000000002
0.2463372631589536,0.6600000000000003
0.2323602639435824,0.6800000000000003
0.2202456881663546,0.7000000000000003
0.2097214118069418,0.7200000000000003
0.2005275130061157,0.7400000000000003
0.1924370358977785,0.7600000000000003
0.1852597743576873,0.7800000000000004
0.1788407839261678,0.8000000000000004
0.1730565834600045,0.8200000000000004
0.1678099078017871,0.8400000000000004
0.1630240830927125,0.8600000000000004
0.1586380590540872,0.8800000000000004
0.1546025557706127,0.9000000000000005
0.1508772343643468,0.9200000000000005
0.1474286102459585,0.9400000000000005
0.1442284902344575,0.9600000000000005
0.141252808131741,0.9800000000000005
0.1384807707464446,1
